GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimarket,com.minimarket.hateoas,InventarioModelAssembler,0,46,0,0,0,5,0,2,0,2
minimarket,com.minimarket.hateoas,ProductoModelAssembler,0,59,0,0,0,6,0,2,0,2
minimarket,com.minimarket.hateoas,UsuarioModelAssembler,0,45,0,0,0,5,0,2,0,2
minimarket,com.minimarket.hateoas,CarritoModelAssembler,0,60,0,0,0,6,0,2,0,2
minimarket,com.minimarket.security.service,CustomUserDetailsService,6,17,0,0,0,4,1,2,1,2
minimarket,com.minimarket.service.impl,UsuarioServiceImpl,0,43,1,3,0,9,1,7,0,6
minimarket,com.minimarket.service.impl,DetalleVentaServiceImpl,0,31,0,0,0,7,0,6,0,6
minimarket,com.minimarket.service.impl,CategoriaServiceImpl,0,26,0,0,0,6,0,5,0,5
minimarket,com.minimarket.service.impl,ProductoServiceImpl,16,26,0,0,4,5,3,5,3,5
minimarket,com.minimarket.service.impl,VentaServiceImpl,0,26,0,0,0,5,0,5,0,5
minimarket,com.minimarket.service.impl,CarritoServiceImpl,0,31,0,0,0,7,0,6,0,6
minimarket,com.minimarket.service.impl,RolServiceImpl,0,8,0,0,0,2,0,2,0,2
minimarket,com.minimarket.service.impl,InventarioServiceImpl,0,31,0,0,0,7,0,6,0,6
minimarket,com.minimarket.dto,CarritoDTO,0,41,0,0,0,8,0,2,0,2
minimarket,com.minimarket.dto,UsuarioDTO,0,30,0,0,0,8,0,3,0,3
minimarket,com.minimarket.dto,InventarioDTO,0,39,0,0,0,8,0,2,0,2
minimarket,com.minimarket.dto,ProductoDTO,0,39,0,0,0,8,0,2,0,2
minimarket,com.minimarket.security.util,JwtUtil,1,89,2,2,0,22,2,8,0,8
minimarket,com.minimarket.security.config,JwtAuthenticationFilter,0,75,4,6,0,22,4,3,0,2
minimarket,com.minimarket.security.config,SecurityConfig,0,269,0,0,0,30,0,10,0,10
